"","zcta","evictions_count","boro"
"1",10001,337,"Manhattan"
"2",10002,306,"Manhattan"
"3",10003,147,"Manhattan"
"4",10004,22,"Manhattan"
"5",10005,47,"Manhattan"
"6",10006,24,"Manhattan"
"7",10007,21,"Manhattan"
"8",10009,292,"Manhattan"
"9",10010,95,"Manhattan"
"10",10011,183,"Manhattan"
"11",10012,117,"Manhattan"
"12",10013,126,"Manhattan"
"13",10014,117,"Manhattan"
"14",10016,198,"Manhattan"
"15",10017,87,"Manhattan"
"16",10018,170,"Manhattan"
"17",10019,323,"Manhattan"
"18",10020,3,"Manhattan"
"19",10021,120,"Manhattan"
"20",10022,169,"Manhattan"
"21",10023,146,"Manhattan"
"22",10024,125,"Manhattan"
"23",10025,355,"Manhattan"
"24",10026,279,"Manhattan"
"25",10027,373,"Manhattan"
"26",10028,127,"Manhattan"
"27",10029,600,"Manhattan"
"28",10030,399,"Manhattan"
"29",10031,499,"Manhattan"
"30",10032,508,"Manhattan"
"31",10033,488,"Manhattan"
"32",10034,430,"Manhattan"
"33",10035,366,"Manhattan"
"34",10036,346,"Manhattan"
"35",10037,384,"Manhattan"
"36",10038,69,"Manhattan"
"37",10039,373,"Manhattan"
"38",10040,348,"Manhattan"
"39",10004,0,"Manhattan"
"40",10005,0,"Manhattan"
"41",10044,33,"Manhattan"
"42",10004,0,"Manhattan"
"43",10022,0,"Manhattan"
"44",10065,120,"Manhattan"
"45",10069,12,"Manhattan"
"46",10075,58,"Manhattan"
"47",10282,0,"Manhattan"
"48",10005,0,"Manhattan"
"49",10103,0,"Manhattan"
"50",10019,0,"Manhattan"
"51",10019,0,"Manhattan"
"52",10019,0,"Manhattan"
"53",10019,1,"Manhattan"
"54",10110,0,"Manhattan"
"55",10111,0,"Manhattan"
"56",10112,1,"Manhattan"
"57",10115,0,"Manhattan"
"58",10001,1,"Manhattan"
"59",10119,0,"Manhattan"
"60",10001,0,"Manhattan"
"61",10011,0,"Manhattan"
"62",10001,0,"Manhattan"
"63",10001,1,"Manhattan"
"64",10128,157,"Manhattan"
"65",10022,0,"Manhattan"
"66",10152,0,"Manhattan"
"67",10153,0,"Manhattan"
"68",10154,0,"Manhattan"
"69",10022,1,"Manhattan"
"70",10016,0,"Manhattan"
"71",10162,2,"Manhattan"
"72",10165,0,"Manhattan"
"73",10017,0,"Manhattan"
"74",10167,1,"Manhattan"
"75",10168,2,"Manhattan"
"76",10169,0,"Manhattan"
"77",10170,4,"Manhattan"
"78",10171,0,"Manhattan"
"79",10172,0,"Manhattan"
"80",10173,0,"Manhattan"
"81",10174,0,"Manhattan"
"82",10173,0,"Manhattan"
"83",10017,2,"Manhattan"
"84",10177,2,"Manhattan"
"85",10017,0,"Manhattan"
"86",10005,0,"Manhattan"
"87",10017,0,"Manhattan"
"88",10005,0,"Manhattan"
"89",10005,0,"Manhattan"
"90",10005,0,"Manhattan"
"91",10271,0,"Manhattan"
"92",10004,0,"Manhattan"
"93",10278,0,"Manhattan"
"94",10279,0,"Manhattan"
"95",10280,26,"Manhattan"
"96",10280,1,"Manhattan"
"97",10282,8,"Manhattan"
"98",10282,0,"Manhattan"
"99",10005,0,"Manhattan"
"100",10301,360,"Staten Island"
"101",10302,128,"Staten Island"
"102",10303,235,"Staten Island"
"103",10304,422,"Staten Island"
"104",10305,144,"Staten Island"
"105",10306,177,"Staten Island"
"106",10307,41,"Staten Island"
"107",10308,46,"Staten Island"
"108",10309,78,"Staten Island"
"109",10310,158,"Staten Island"
"110",10312,82,"Staten Island"
"111",10314,189,"Staten Island"
"112",10451,866,"Bronx"
"113",10452,1197,"Bronx"
"114",10453,1581,"Bronx"
"115",10454,427,"Bronx"
"116",10455,627,"Bronx"
"117",10456,1657,"Bronx"
"118",10457,1385,"Bronx"
"119",10458,1726,"Bronx"
"120",10459,1010,"Bronx"
"121",10460,1310,"Bronx"
"122",10461,400,"Bronx"
"123",10462,972,"Bronx"
"124",10463,609,"Bronx"
"125",10464,27,"Bronx"
"126",10465,148,"Bronx"
"127",10466,1111,"Bronx"
"128",10467,1746,"Bronx"
"129",10468,1301,"Bronx"
"130",10469,604,"Bronx"
"131",10470,243,"Bronx"
"132",10471,122,"Bronx"
"133",10472,959,"Bronx"
"134",10473,517,"Bronx"
"135",10474,275,"Bronx"
"136",10475,261,"Bronx"
"137",11001,6,"Queens"
"138",11004,17,"Queens"
"139",11005,0,"Queens"
"140",11040,9,"Queens"
"141",11096,0,"Queens"
"142",11101,235,"Queens"
"143",11102,148,"Queens"
"144",11103,157,"Queens"
"145",11104,133,"Queens"
"146",11105,133,"Queens"
"147",11106,185,"Queens"
"148",11109,33,"Queens"
"149",11201,193,"Brooklyn"
"150",11203,957,"Brooklyn"
"151",11204,206,"Brooklyn"
"152",11205,248,"Brooklyn"
"153",11206,432,"Brooklyn"
"154",11207,1266,"Brooklyn"
"155",11208,1300,"Brooklyn"
"156",11209,339,"Brooklyn"
"157",11210,661,"Brooklyn"
"158",11211,217,"Brooklyn"
"159",11212,1300,"Brooklyn"
"160",11213,852,"Brooklyn"
"161",11214,341,"Brooklyn"
"162",11215,96,"Brooklyn"
"163",11216,540,"Brooklyn"
"164",11217,155,"Brooklyn"
"165",11218,224,"Brooklyn"
"166",11219,196,"Brooklyn"
"167",11220,286,"Brooklyn"
"168",11221,771,"Brooklyn"
"169",11222,107,"Brooklyn"
"170",11223,304,"Brooklyn"
"171",11224,324,"Brooklyn"
"172",11225,605,"Brooklyn"
"173",11226,1266,"Brooklyn"
"174",11228,85,"Brooklyn"
"175",11229,298,"Brooklyn"
"176",11230,387,"Brooklyn"
"177",11231,109,"Brooklyn"
"178",11232,118,"Brooklyn"
"179",11233,1123,"Brooklyn"
"180",11234,435,"Brooklyn"
"181",11235,467,"Brooklyn"
"182",11236,809,"Brooklyn"
"183",11237,239,"Brooklyn"
"184",11238,287,"Brooklyn"
"185",11239,190,"Brooklyn"
"186",11211,96,"Brooklyn"
"187",11211,0,"Brooklyn"
"188",11354,330,"Queens"
"189",11355,316,"Queens"
"190",11356,123,"Queens"
"191",11357,75,"Queens"
"192",11358,98,"Queens"
"193",11359,2,"Queens"
"194",11360,52,"Queens"
"195",11361,65,"Queens"
"196",11362,22,"Queens"
"197",11363,16,"Queens"
"198",11364,65,"Queens"
"199",11365,205,"Queens"
"200",11366,30,"Queens"
"201",11367,215,"Queens"
"202",11368,730,"Queens"
"203",11369,119,"Queens"
"204",11370,71,"Queens"
"205",11371,0,"Queens"
"206",11372,377,"Queens"
"207",11373,375,"Queens"
"208",11374,195,"Queens"
"209",11375,232,"Queens"
"210",11377,341,"Queens"
"211",11378,134,"Queens"
"212",11379,76,"Queens"
"213",11385,455,"Queens"
"214",11411,100,"Queens"
"215",11412,304,"Queens"
"216",11413,320,"Queens"
"217",11414,97,"Queens"
"218",11415,157,"Queens"
"219",11416,178,"Queens"
"220",11417,174,"Queens"
"221",11418,231,"Queens"
"222",11419,224,"Queens"
"223",11420,278,"Queens"
"224",11421,193,"Queens"
"225",11422,238,"Queens"
"226",11423,255,"Queens"
"227",11426,43,"Queens"
"228",11427,102,"Queens"
"229",11428,103,"Queens"
"230",11429,202,"Queens"
"231",11430,0,"Queens"
"232",11432,479,"Queens"
"233",11433,457,"Queens"
"234",11434,572,"Queens"
"235",11435,441,"Queens"
"236",11436,165,"Queens"
"237",11451,0,"Queens"
"238",11691,821,"Queens"
"239",11692,339,"Queens"
"240",11693,102,"Brooklyn"
"241",11694,135,"Queens"
"242",11697,0,"Queens"
